# Residuals   
# Time        	p             	Ux            	Uz            	k             	epsilon       
12            	4.703351e-03	1.370916e-03	1.568066e-03	3.293168e-03	1.707050e-03
12.05         	4.700880e-03	1.364453e-03	1.562574e-03	3.262907e-03	1.693448e-03
12.1          	4.709033e-03	1.358093e-03	1.557413e-03	3.235541e-03	1.679205e-03
12.15         	4.740163e-03	1.351770e-03	1.552088e-03	3.210623e-03	1.664864e-03
12.2          	4.714572e-03	1.345504e-03	1.546721e-03	3.184402e-03	1.650826e-03
12.25         	4.847411e-03	1.339274e-03	1.541311e-03	3.156883e-03	1.638254e-03
12.3          	4.772702e-03	1.333216e-03	1.538132e-03	3.128171e-03	1.625335e-03
12.35         	4.821022e-03	1.327122e-03	1.533412e-03	3.102833e-03	1.611950e-03
12.4          	4.777006e-03	1.321105e-03	1.528915e-03	3.079052e-03	1.598510e-03
12.45         	4.837454e-03	1.315100e-03	1.523839e-03	3.054254e-03	1.585404e-03
12.5          	4.762715e-03	1.309218e-03	1.519152e-03	3.027890e-03	1.573646e-03
12.55         	4.737396e-03	1.303273e-03	1.512968e-03	3.000885e-03	1.561425e-03
12.6          	4.682052e-03	1.297507e-03	1.508030e-03	2.977135e-03	1.548834e-03
12.65         	4.695312e-03	1.291704e-03	1.503453e-03	2.954609e-03	1.536268e-03
12.7          	4.672840e-03	1.286029e-03	1.498828e-03	2.930910e-03	1.524209e-03
12.75         	4.731316e-03	1.280318e-03	1.493907e-03	2.905833e-03	1.513273e-03
12.8          	4.613051e-03	1.274742e-03	1.489162e-03	2.880417e-03	1.501771e-03
12.85         	4.711536e-03	1.269140e-03	1.484710e-03	2.858325e-03	1.490452e-03
12.9          	4.677202e-03	1.263633e-03	1.479729e-03	2.836737e-03	1.479362e-03
12.95         	4.734266e-03	1.258141e-03	1.475580e-03	2.814211e-03	1.468931e-03
13            	4.672314e-03	1.252749e-03	1.471832e-03	2.790300e-03	1.459354e-03
13.05         	4.696158e-03	1.247373e-03	1.467614e-03	2.767615e-03	1.449170e-03
13.1          	4.632194e-03	1.242080e-03	1.462881e-03	2.748047e-03	1.438627e-03
13.15         	4.619567e-03	1.236773e-03	1.458300e-03	2.728465e-03	1.428222e-03
13.2          	4.650940e-03	1.231548e-03	1.453809e-03	2.707863e-03	1.418629e-03
13.25         	4.736540e-03	1.226275e-03	1.448740e-03	2.686074e-03	1.409615e-03
13.3          	4.584229e-03	1.221194e-03	1.445670e-03	2.664959e-03	1.400020e-03
13.35         	4.612434e-03	1.216072e-03	1.441841e-03	2.646696e-03	1.390144e-03
13.4          	4.621322e-03	1.210992e-03	1.437780e-03	2.627867e-03	1.380356e-03
13.45         	4.705337e-03	1.205955e-03	1.433822e-03	2.608122e-03	1.371454e-03
13.5          	4.657234e-03	1.200953e-03	1.429782e-03	2.587298e-03	1.362883e-03
13.55         	4.685256e-03	1.196036e-03	1.425617e-03	2.567600e-03	1.353844e-03
13.6          	4.636820e-03	1.191203e-03	1.422041e-03	2.550360e-03	1.344557e-03
13.65         	4.603108e-03	1.186343e-03	1.417618e-03	2.532389e-03	1.335407e-03
13.7          	4.578412e-03	1.181537e-03	1.413752e-03	2.513285e-03	1.327167e-03
13.75         	4.657340e-03	1.176764e-03	1.409823e-03	2.493521e-03	1.318992e-03
13.8          	4.628867e-03	1.172053e-03	1.406584e-03	2.475097e-03	1.310427e-03
13.85         	4.615092e-03	1.167315e-03	1.401959e-03	2.458812e-03	1.301678e-03
13.9          	4.547438e-03	1.162641e-03	1.397843e-03	2.441499e-03	1.293053e-03
13.95         	4.670426e-03	1.158011e-03	1.394459e-03	2.423214e-03	1.285357e-03
14            	4.548734e-03	1.153468e-03	1.391616e-03	2.404349e-03	1.277533e-03
14.05         	4.641694e-03	1.148887e-03	1.387833e-03	2.387201e-03	1.269432e-03
14.1          	4.611249e-03	1.144366e-03	1.384678e-03	2.371635e-03	1.261185e-03
14.15         	4.620140e-03	1.139906e-03	1.381159e-03	2.355046e-03	1.253179e-03
14.2          	4.654592e-03	1.135457e-03	1.377396e-03	2.337469e-03	1.246068e-03
14.25         	4.675226e-03	1.131038e-03	1.373727e-03	2.319464e-03	1.238649e-03
14.3          	4.648750e-03	1.126662e-03	1.370304e-03	2.303356e-03	1.230929e-03
14.35         	4.742763e-03	1.122309e-03	1.367387e-03	2.288445e-03	1.223142e-03
14.4          	4.664825e-03	1.117998e-03	1.363942e-03	2.272536e-03	1.215603e-03
14.45         	4.623827e-03	1.113731e-03	1.360828e-03	2.255823e-03	1.208925e-03
14.5          	4.594837e-03	1.109516e-03	1.357488e-03	2.238796e-03	1.201891e-03
14.55         	4.639887e-03	1.105300e-03	1.354155e-03	2.223806e-03	1.194646e-03
14.6          	4.564605e-03	1.101160e-03	1.350552e-03	2.209423e-03	1.187299e-03
14.65         	4.573724e-03	1.097034e-03	1.346941e-03	2.194365e-03	1.180285e-03
14.7          	4.690833e-03	1.092925e-03	1.343351e-03	2.178254e-03	1.173989e-03
14.75         	4.598234e-03	1.088922e-03	1.341772e-03	2.162207e-03	1.167329e-03
14.8          	4.500875e-03	1.084871e-03	1.337775e-03	2.148044e-03	1.160433e-03
14.85         	4.557490e-03	1.080847e-03	1.334664e-03	2.134243e-03	1.153491e-03
14.9          	4.498555e-03	1.076870e-03	1.331510e-03	2.119746e-03	1.146964e-03
14.95         	4.506506e-03	1.072874e-03	1.328302e-03	2.104374e-03	1.140947e-03
15            	4.481438e-03	1.068871e-03	1.325102e-03	2.089158e-03	1.134600e-03
15.05         	4.567648e-03	1.064848e-03	1.322101e-03	2.075970e-03	1.128101e-03
