# Time step   
# Time        	deltaT
4.47432       	4.959260e-03
4.47919       	4.867422e-03
4.48396       	4.778111e-03
4.48861       	4.648973e-03
4.49318       	4.565956e-03
4.49766       	4.485142e-03
4.50215       	4.485142e-03
4.50663       	4.485142e-03
4.51112       	4.485142e-03
4.51565       	4.526671e-03
4.52017       	4.526671e-03
4.5247        	4.526671e-03
4.52923       	4.526671e-03
4.53371       	4.483560e-03
4.53819       	4.483560e-03
4.54272       	4.527517e-03
4.54729       	4.572792e-03
4.55187       	4.572792e-03
4.55644       	4.572792e-03
4.56101       	4.572792e-03
4.56558       	4.572792e-03
4.57021       	4.621439e-03
4.57483       	4.621439e-03
4.5795        	4.672224e-03
4.58422       	4.724721e-03
4.589         	4.779028e-03
4.59378       	4.779028e-03
4.59862       	4.835921e-03
4.60351       	4.894895e-03
4.60841       	4.894895e-03
4.61337       	4.956856e-03
4.61814       	4.773269e-03
4.6228        	4.656848e-03
4.62757       	4.774743e-03
4.63241       	4.836752e-03
4.63737       	4.967475e-03
4.64241       	5.036468e-03
4.64752       	5.108418e-03
4.65263       	5.108418e-03
4.65781       	5.184663e-03
4.663         	5.184663e-03
4.66818       	5.184663e-03
4.67345       	5.266959e-03
4.67872       	5.266959e-03
4.68407       	5.354741e-03
4.68952       	5.447065e-03
4.69506       	5.544334e-03
4.70071       	5.647006e-03
4.70658       	5.868458e-03
4.71269       	6.112977e-03
4.71907       	6.384665e-03
4.72561       	6.533145e-03
4.7323        	6.692490e-03
4.73916       	6.864092e-03
4.74621       	7.049608e-03
4.75368       	7.464291e-03
4.76138       	7.697550e-03
4.7699        	8.522288e-03
4.77812       	8.217921e-03
4.78633       	8.217921e-03
4.79488       	8.546637e-03
4.80343       	8.546637e-03
4.81071       	7.280469e-03
4.81662       	5.915381e-03
4.82254       	5.915381e-03
4.82776       	5.219454e-03
4.83254       	4.784499e-03
4.83747       	4.925220e-03
4.84255       	5.079133e-03
4.8478        	5.248437e-03
